hospital;pacientes-dia;saidas;obitos-hospitalares;obitos-institucionais;leitos-dia;internacoes;consultas-eletivas;consultas-urgencia;permanencia;ocupacao;mortalidade-hospit-geral;mortalidade-institucional;renovacao-leitos;mes;ano
HAC;1.884;257;23;22;2.913;258;3.271;248;7,331;64,676;8,949;8,56;0,088;9;2021
HJK;3.432;412;26;26;8.662;474;2.552;921;8,33;39,621;6,311;6,311;0,048;9;2021
HEM;1.652;133;10;10;2.739;128;2.289;25;12,421;60,314;7,519;7,519;0,049;9;2021
HGBJA;2.057;180;19;19;2.240;189;172;2.198;11,428;91,83;10,556;10,556;0,08;9;2021
HRAD;3.152;576;34;33;3.390;566;740;713;5,472;92,979;5,903;5,729;0,17;9;2021
HRJP;2.003;263;12;12;4.284;261;1.107;488;7,616;46,755;4,563;4,563;0,061;9;2021
MOV;2.439;550;2;2;2.520;554;1.534;1.489;4,435;96,786;0,364;0,364;0,218;9;2021
CSPD;349;35;3;3;930;25;661;425;9,971;37,527;8,571;8,571;0,038;9;2021
CSSFA;1.166;22;0;0;1.290;22;11;0;53;90,388;0;0;0,017;9;2021
CSSFE;672;85;0;0;842;89;957;17;7,906;79,81;0;0;0,101;9;2021
CSSI;984;80;1;1;1.350;77;559;1.434;12,3;72,889;1,25;1,25;0,059;9;2021
HCM;1.202;3;0;0;1.260;3;87;0;400,667;95,397;0;0;0,002;9;2021
CEPAI;210;0;0;0;210;0;54;7;0;100;0;0;0;9;2021
CHPB;3.664;36;0;0;4.688;49;580;2;101,778;78,157;0;0;0,008;9;2021
HGV;794;93;1;1;1.560;89;0;6;8,538;50,897;1,075;1,075;0,06;9;2021
IRS;2.397;111;0;0;3.480;107;395;232;21,595;68,879;0;0;0,032;9;2021
HIJPII;2.902;359;3;3;3.557;364;1.396;3.093;8,084;81,586;0,836;0,836;0,101;9;2021
HJXXIII;8.728;1.045;48;48;8.430;1.041;903;4.889;8,352;103,535;4,593;4,593;0,124;9;2021
HMAL;1.311;202;0;0;1.740;202;2.302;99;6,49;75,345;0;0;0,116;9;2021
